Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-26,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-27,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-28,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-29,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-01,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-02,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-03,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-04,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,1.0
2020-03-05,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,1.0
2020-03-06,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,2.0
2020-03-07,,,,,,,,0.0,,,,,,,,,,,,,,,4.0,,,,4.0
2020-03-08,,,,,,,,0.0,,,,,,,,,,,,,,,3.0,,,,3.0
2020-03-09,,,,,,,,3.0,,,,,,,,,,,,,,,5.0,1.0,,,9.0
2020-03-10,,,,,,,,4.0,,,,,1.0,,,,,,,,,,6.0,1.0,,,12.0
2020-03-11,,,,,,2.0,,6.0,,,,,1.0,,,,,,,,,,7.0,1.0,,,17.0
2020-03-12,,,,,,,,6.0,,,,,1.0,,,,,,,,,,8.0,1.0,,,18.0
2020-03-13,,,,,,,,7.0,,,,,1.0,,,,,,,,13.0,,10.0,1.0,,,34.0
2020-03-14,,,,,,,,8.0,,,,,1.0,,,,,,,,,,14.0,1.0,,,39.0
2020-03-15,,,,,,,,12.0,,,,,1.0,,,,,,,,,,19.0,1.0,,,48.0
2020-03-16,,,,,,,,10.0,,,,,2.0,,,,,,,,,,27.0,1.0,,,55.0
2020-03-17,,,,,,,,19.0,,,,,4.0,,,,,,,,,,35.0,2.0,,,75.0
2020-03-18,,,,,,,5.0,20.0,,,,,3.0,,,,,,,,,,34.0,2.0,,,79.0
2020-03-19,6.0,,,,,,5.0,19.0,,,,,3.0,,,,,,,,33.0,,32.0,2.0,,,102.0
2020-03-20,4.0,,,,,,6.0,22.0,,,,,4.0,,,,,,,,35.0,,30.0,5.0,,,108.0
2020-03-21,,,,,,,6.0,25.0,,,,,5.0,,,,,,,,40.0,,23.0,6.0,,,111.0
2020-03-22,,,,,,,8.0,36.0,,,1.0,,6.0,,,,,,,,46.0,,23.0,7.0,,,133.0
2020-03-23,3.0,,,,,,7.0,43.0,,,2.0,,11.0,,,,,,,,45.0,,41.0,10.0,,,164.0
2020-03-24,2.0,,,,,,7.0,41.0,,,3.0,,8.0,,,,,,,,50.0,,46.0,11.0,,,170.0
2020-03-25,5.0,,,,,,7.0,50.0,,,3.0,,10.0,,,,,,,,57.0,,58.0,11.0,,,203.0
2020-03-26,10.0,,,,,8.0,5.0,52.0,,,4.0,,9.0,,,,,,,,60.0,,66.0,11.0,,,225.0
2020-03-27,12.0,,,,,8.0,8.0,54.0,,,4.0,,9.0,,,,,,,,61.0,,73.0,15.0,,,244.0
2020-03-28,,,,,,11.0,12.0,59.0,,,5.0,,11.0,,,,,,,,69.0,,76.0,19.0,,,274.0
2020-03-29,,,,,,12.0,13.0,59.0,,,5.0,,16.0,,,,,,,,69.0,,78.0,23.0,,,287.0
2020-03-30,25.0,,,21.0,,12.0,16.0,57.0,,,5.0,,12.0,,,,,,,,75.0,,76.0,21.0,,,320.0
2020-03-31,25.0,,,23.0,,15.0,20.0,64.0,,,4.0,,14.0,,,,,,,,74.0,,80.0,23.0,,,342.0
2020-04-01,27.0,,,26.0,,16.0,23.0,64.0,,,5.0,12.0,14.0,,,,,,,,76.0,,83.0,23.0,,,369.0
2020-04-02,27.0,,,24.0,,17.0,23.0,62.0,,,4.0,11.0,12.0,,,11.0,3.0,,,,75.0,,83.0,23.0,,,375.0
2020-04-03,27.0,,,30.0,,17.0,21.0,65.0,,,3.0,12.0,11.0,,,12.0,3.0,,,,75.0,,80.0,27.0,,,383.0
2020-04-04,,,,35.0,,16.0,21.0,61.0,,,,12.0,,,,13.0,,,,,,,,,,,384.0
