day,S,E,A,I,H,D,R,C,beds,lockdown
1,0.99,0.01,0,0,0,0,0,0,0.008086595,0
2,0.99,0.005726496,0.004273504,0,0,0,0,0,0.008086595,0
3,0.987492888,0.005786388,0.005226492,0.001494232,0,0,0,0,0.008086595,0
4,0.983562916,0.007243544,0.005871863,0.00285473,2.33E-05,0,0.0004436,0,0.008086595,0
5,0.978483335,0.009227594,0.006914295,0.004015725,6.52E-05,1.40E-06,0.001292452,0,0.008086595,0
6,0.972158169,0.011609343,0.008440126,0.005178397,0.00012025,5.31E-06,0.002488402,0,0.008086595,0
7,0.964334357,0.014471898,0.010450291,0.006511241,0.000186973,1.25E-05,0.004032713,0,0.008086595,0
8,0.954677982,0.017943701,0.012980914,0.008130426,0.000266648,2.37E-05,0.005976582,0,0.008086595,0
9,0.942794042,0.022159393,0.016110381,0.010128449,0.000362222,3.97E-05,0.008405768,0,0.008086595,0
10,0.92822973,0.027253879,0.019947207,0.012596309,0.000477737,6.15E-05,0.01143366,0,0.008086595,0
11,0.910478083,0.033358569,0.024619616,0.01563451,0.000618181,9.01E-05,0.015200898,0,0.008086595,0
12,0.888989453,0.0405914,0.030267157,0.019356983,0.000789525,0.000127233,0.019878248,0,0.008086595,0
13,0.442022361,0.028593634,0.037030987,0.023890848,0.000998814,0.000174605,0.025670645,0.441618106,0.008086595,1
14,0.43554297,0.022853524,0.036302592,0.029372856,0.001254248,0.000234534,0.032821172,0.441618106,0.008086595,1
15,0.428664347,0.019965683,0.033375841,0.032887052,0.001565198,0.000309789,0.041613985,0.441618106,0.008086595,1
16,0.42183429,0.018263397,0.03023831,0.034279723,0.001894365,0.0004037,0.05146811,0.441618106,0.008086595,1
17,0.415288664,0.017004152,0.027470345,0.034140145,0.00220645,0.000517362,0.061754775,0.441618106,0.008086595,1
18,0.409132849,0.015893236,0.025132061,0.033076365,0.002479529,0.000649749,0.072018105,0.441618106,0.008086595,1
19,0.403400803,0.014833301,0.023136608,0.031527435,0.002703763,0.000798521,0.081981464,0.441618106,0.008086595,1
20,0.39809093,0.013804156,0.021385902,0.029764835,0.002877335,0.000960747,0.091497989,0.441618106,0.008086595,1
21,0.393185644,0.01281023,0.019807526,0.027940912,0.003002885,0.001133387,0.10050131,0.441618106,0.008086595,1
22,0.388661196,0.011860221,0.018356275,0.026135085,0.003085121,0.00131356,0.108970435,0.441618106,0.008086595,1
23,0.384492244,0.010960702,0.017006468,0.024386149,0.003129438,0.001498667,0.116908226,0.441618106,0.008086595,1
24,0.380653818,0.010115068,0.015744211,0.022711795,0.003141198,0.001686433,0.124329371,0.441618106,0.008086595,1
25,0.813678621,0.014379561,0.014561921,0.021119328,0.003125408,0.001874905,0.131254125,6.13E-06,0.008086595,1
